codigo,nombre,municipio,tipo,especialidad,familia_fp
28035305,ALONSO QUIJANO,Alcalá de Henares,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28035317,JOSE LUIS SAMPEDRO,Tres Cantos,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28035329,MANUEL AZAÑA,Getafe,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28035330,JUAN DE VILLANUEVA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28035342,LA DEHESILLA,Cercedilla,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28036978,LA ARBOLEDA,Alcorcón,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28036981,LA POVEDA,Arganda del Rey,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28036991,ANGEL CORELLA,Colmenar Viejo,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28037004,ENRIQUE TIERNO GALVAN,Leganés,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28037016,CIUDAD DE LOS ÁNGELES,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28037028,ROSA CHACEL,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28037031,ANTONIO DOMINGUEZ ORTIZ,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28037041,JOAQUÍN RODRIGO,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28037053,PRADOLONGO,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28037065,REY FERNANDO VI,San Fernando de Henares,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28037077,VICTORIA KENT,Torrejón de Ardoz,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28037089,DIEGO VELAZQUEZ,Torrelodones,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038070,VIRGEN DE LA PAZ,Alcobendas,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038100,LUIS BUÑUEL,Alcorcón,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038151,RAFAEL ALBERTI,Coslada,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038215,CARPE DIEM,Getafe,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038227,CLARA CAMPOAMOR,Getafe,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038291,SALVADOR DALI,Leganés,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038306,SIGLO XXI,Leganés,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038355,MIRASIERRA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038367,FRANCISCO TOMAS Y VALIENTE,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038379,ISLAS FILIPINAS,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038422,LUIS BUÑUEL,Móstoles,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038446,NARCIS MONTURIOL,Parla,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038616,JAIME FERRAN CLUA,San Fernando de Henares,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038801,MARIA DE MOLINA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038811,ANTONIO MACHADO,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038823,ISAAC NEWTON,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038835,ISIDRA DE GUZMÁN,Alcalá de Henares,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038847,SEVERO OCHOA,Alcobendas,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038859,PARQUE DE LISBOA,Alcorcón,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038860,LA SERNA,Fuenlabrada,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038872,LA FORTUNA,Leganés,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038884,CLARA CAMPOAMOR,Móstoles,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038896,VELAZQUEZ,Móstoles,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038902,MANUEL ELKIN PATARROYO,Parla,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038914,CAMILO JOSE CELA,Pozuelo de Alarcón,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28038926,VILLA DE VALDEMORO,Valdemoro,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039037,ALPAJES,Aranjuez,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039128,MARIA DE ZAYAS Y SOTOMAYOR,Majadahonda,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039682,ALKALA-NAHAR,Alcalá de Henares,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039694,IGNACIO ELLACURIA,Alcorcón,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039700,JOSEFINA ALDECOA,Alcorcón,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039724,GRANDE COVIAN,Arganda del Rey,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039751,LA CAÑADA,Coslada,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039797,JULIO CARO BAROJA,Fuenlabrada,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039803,SALVADOR ALLENDE,Fuenlabrada,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039827,LAGUNA DE JOATZEL,Getafe,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039839,ISAAC ALBENIZ,Leganés,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039840,MARQUES DE SUANZES,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039852,PEREZ GALDOS,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039864,JULIO VERNE,Leganés,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039876,SALVADOR DALÍ,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039888,GABRIEL GARCIA MARQUEZ,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039891,VILLABLANCA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039943,CARLOS BOUSOÑO,Majadahonda,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28039992,LOS ROSALES,Móstoles,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28040003,BENJAMIN RUA,Móstoles,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28040027,LUIS DE GONGORA,Torrejón de Ardoz,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28040611,AL-SATT,Algete,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28040660,ALDEBARAN,Alcobendas,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28040672,GUSTAVO ADOLFO BECQUER,Algete,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28040684,CARPE DIEM,Chinchón,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28040696,JOSÉ HIERRO,Getafe,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28040702,LEON FELIPE,Getafe,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28040714,DE GUADARRAMA,Guadarrama,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28040726,JUAN DE MAIRENA,Leganés,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28040738,SAN NICASIO,Leganés,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28040741,ITURRALDE,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
